type, timestamp, datapath_id, n_buffers, n_tables, capabilities, cookie, command, flags, idle_timeout, hard_timeout, priority, buffer_id, out_port, data,-./01234567, in_port, total_len, reason, eth_dst, eth_src, duration_sec, duration_nsec, packet_count, byte_count
 PACKETIN, 1711750733.7600727, 2,,,,,,,,,, 4294967295,, b\xd2\x1b\xec\xbf\xcb\xd6V\xcd\x01\xdc\x9b\xc7\x08\x00E\x00\x00T\x86\xd0\x00\x00@\x01\xdf\xd3\n\x00\x00\x04\n\x00\x00\x02\x00\x00\xaa\x18d\x95\x00\x01M\x07f\x00\x00\x00\x00\xd4\xd9\t\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 3, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750734.6727083, 2,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, 56:cd:01:dc:9b:c7, d2:1b:ec:bf:cb:d6,,,,
 PACKETIN, 1711750734.6727083, 2,,,,,,,,,, 4294967295,, bV\xcd\x01\xdc\x9b\xc7\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00TH\x03@\x00@\x01\xde\xa0\n\x00\x00\x02\n\x00\x00\x04\x08\x00\xbd\nd\x95\x00\x02N\x07f\x00\x00\x00\x00\xb8\xe6\t\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750734.7241127, 3,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, 56:cd:01:dc:9b:c7, d2:1b:ec:bf:cb:d6,,,,
 PACKETIN, 1711750734.7241127, 3,,,,,,,,,, 4294967295,, bV\xcd\x01\xdc\x9b\xc7\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00TH\x03@\x00@\x01\xde\xa0\n\x00\x00\x02\n\x00\x00\x04\x08\x00\xbd\nd\x95\x00\x02N\x07f\x00\x00\x00\x00\xb8\xe6\t\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750734.770861, 4,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, 56:cd:01:dc:9b:c7, d2:1b:ec:bf:cb:d6,,,,
 PACKETIN, 1711750734.770861, 4,,,,,,,,,, 4294967295,, bV\xcd\x01\xdc\x9b\xc7\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00TH\x03@\x00@\x01\xde\xa0\n\x00\x00\x02\n\x00\x00\x04\x08\x00\xbd\nd\x95\x00\x02N\x07f\x00\x00\x00\x00\xb8\xe6\t\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 PACKETIN, 1711750738.104204, 2,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8c\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\tr@\x00@\x01\x1d5\n\x00\x00\x02\n\x00\x00\x01\x08\x00\x91Xd\xaa\x00\x01R\x07f\x00\x00\x00\x00\xe8\x84\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 PACKETIN, 1711750738.113075, 3,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8c\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\tr@\x00@\x01\x1d5\n\x00\x00\x02\n\x00\x00\x01\x08\x00\x91Xd\xaa\x00\x01R\x07f\x00\x00\x00\x00\xe8\x84\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 PACKETIN, 1711750738.1161146, 1,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8c\xd2\x1b\xec\xbf\xcb\xd6\x08\x00E\x00\x00T\tr@\x00@\x01\x1d5\n\x00\x00\x02\n\x00\x00\x01\x08\x00\x91Xd\xaa\x00\x01R\x07f\x00\x00\x00\x00\xe8\x84\x01\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
